text,sentiment
superb explanation bhai!,positive
acha theek bro,neutral
bhai tu hadd karta hai 😭,negative
koi reply karega?,neutral
bhot irritating ho yaar bhai,negative
bhai awesome kaam kiya! 😂,positive
superb explanation bhai! bhai,positive
koi reply karega? bro,neutral
superb explanation bhai! 🤦,positive
mujhe notes bhejna bhai,neutral
mujhe notes bhejna 😭,neutral
tu sabse best hai yaar,positive
mazaq mat udao,negative
ok done 😂,neutral
class kab start hogi? yaar,neutral
tu sabse best hai yaar 😂,positive
faltu baatein mt kar 😡,negative
bhot badhiya! 🤦,positive
hmm sahi bro,neutral
hmm sahi bro,neutral
kal milte hain bhai? 😡,neutral
faltu baatein mt kar bro,negative
mujhe notes bhejna,neutral
amazing experience! 😭,positive
superb explanation bhai! 😡,positive
bahut bekaar scene tha bhai,negative
bahut bekaar scene tha 😂,negative
superb explanation bhai! bhai,positive
mazaq mat udao bhai,negative
kal milte hain bhai? 😡,neutral
aaj mood bht accha hai 😊,positive
hmm sahi yaar,neutral
faltu baatein mt kar 🤦,negative
ye kya bakwaas hai yaar,negative
thanks yaar! yaar,positive
bhai tu hadd karta hai,negative
acha theek 😂,neutral
haan theek hai bro,neutral
class kab start hogi? 🤦,neutral
hmm sahi bhai,neutral
faltu baatein mt kar bhai,negative
acha theek,neutral
acha theek 😂,neutral
thanks yaar! 😡,positive
bhot irritating ho yaar 🤦,negative
amazing experience! 😭,positive
bhot irritating ho yaar bro,negative
ye bilkul pasand nhi aaya 🤦,negative
tu kidhar hai? 🤦,neutral
class kab start hogi? bro,neutral
amazing experience! yaar,positive
bhai awesome kaam kiya! 😡,positive
mast bro proud of you! 😭,positive
tu kidhar hai? 😡,neutral
tu sabse best hai yaar 🤦,positive
tu kidhar hai? yaar,neutral
koi reply karega? 🤦,neutral
aaj mood bht accha hai 😊 😂,positive
mazaq mat udao 🤦,negative
tu kidhar hai? 😭,neutral
haan theek hai bhai,neutral
bhot badhiya! 😡,positive
tu kidhar hai?,neutral
ye kya bakwaas hai 🤦,negative
mujhe notes bhejna 😂,neutral
bhai awesome kaam kiya! bhai,positive
class kab start hogi? 😡,neutral
chillana band kar 😭,negative
ye kya bakwaas hai 😡,negative
bht gussa aa raha bhai,negative
superb explanation bhai! bhai,positive
bahut bekaar scene tha 😂,negative
acha theek,neutral
aaj mood bht accha hai 😊,positive
ye bilkul pasand nhi aaya 😭,negative
mujhe notes bhejna 😂,neutral
aaj mood bht accha hai 😊,positive
fir dekhte hain bhai,neutral
amazing experience! 🤦,positive
class kab start hogi? 🤦,neutral
love you guys ❤️ bhai,positive
bahut bekaar scene tha bhai,negative
koi reply karega? yaar,neutral
mujhe notes bhejna,neutral
aaj mood bht accha hai 😊 bro,positive
bahut bekaar scene tha 😂,negative
koi reply karega? 😂,neutral
bhai awesome kaam kiya! 😭,positive
ye kya bakwaas hai bhai,negative
acha theek,neutral
ye bilkul pasand nhi aaya yaar,negative
ye kya bakwaas hai 😂,negative
thanks yaar!,positive
ye kya bakwaas hai bhai,negative
fir dekhte hain,neutral
kal milte hain bhai? 🤦,neutral
chillana band kar yaar,negative
bhai awesome kaam kiya! bhai,positive
tu kidhar hai? yaar,neutral
love you guys ❤️ 😭,positive
mazaq mat udao yaar,negative
bhot badhiya! 🤦,positive
bht gussa aa raha,negative
bhai awesome kaam kiya!,positive
superb explanation bhai! yaar,positive
mujhe notes bhejna 😡,neutral
mujhe notes bhejna 🤦,neutral
class kab start hogi? bro,neutral
chillana band kar 🤦,negative
mujhe notes bhejna bhai,neutral
acha theek 🤦,neutral
superb explanation bhai! 😂,positive
class kab start hogi? 😂,neutral
ye kya bakwaas hai bro,negative
bhai tu hadd karta hai 😡,negative
mast bro proud of you! 😂,positive
tu sabse best hai yaar 😡,positive
ye kya bakwaas hai yaar,negative
haan theek hai 😡,neutral
faltu baatein mt kar 🤦,negative
bhai awesome kaam kiya! yaar,positive
chillana band kar bro,negative
fir dekhte hain 🤦,neutral
bhai awesome kaam kiya! 😭,positive
bhai awesome kaam kiya! 😡,positive
amazing experience! 🤦,positive
class kab start hogi? 😂,neutral
bhai tu hadd karta hai yaar,negative
ye bilkul pasand nhi aaya bhai,negative
mujhe notes bhejna 🤦,neutral
kal milte hain bhai?,neutral
ye bilkul pasand nhi aaya bhai,negative
bhot irritating ho yaar 😭,negative
bhai awesome kaam kiya! 😡,positive
ye bilkul pasand nhi aaya,negative
ye kya bakwaas hai,negative
kal milte hain bhai?,neutral
ye kya bakwaas hai yaar,negative
bhot badhiya! bhai,positive
tu kidhar hai? 😭,neutral
class kab start hogi? bro,neutral
superb explanation bhai! yaar,positive
bhot badhiya! bhai,positive
faltu baatein mt kar,negative
ok done bhai,neutral
class kab start hogi?,neutral
koi reply karega?,neutral
aaj mood bht accha hai 😊,positive
koi reply karega?,neutral
amazing experience! 🤦,positive
mast bro proud of you! bro,positive
thanks yaar! 😂,positive
love you guys ❤️ 😂,positive
faltu baatein mt kar bro,negative
mast bro proud of you! 🤦,positive
mazaq mat udao 🤦,negative
tu kidhar hai? 😂,neutral
bhai awesome kaam kiya! bro,positive
superb explanation bhai! bro,positive
fir dekhte hain yaar,neutral
koi reply karega? 😭,neutral
bhai tu hadd karta hai 😡,negative
hmm sahi bhai,neutral
bhai awesome kaam kiya! bro,positive
acha theek bhai,neutral
bhot badhiya! yaar,positive
haan theek hai yaar,neutral
koi reply karega? bro,neutral
acha theek 😡,neutral
bhot badhiya! bro,positive
tu kidhar hai? bro,neutral
bhai awesome kaam kiya! 🤦,positive
love you guys ❤️ 😭,positive
mast bro proud of you! 😂,positive
ye bilkul pasand nhi aaya bro,negative
mujhe notes bhejna bhai,neutral
thanks yaar! bro,positive
koi reply karega? yaar,neutral
ok done 😡,neutral
tu kidhar hai? 😭,neutral
koi reply karega? yaar,neutral
aaj mood bht accha hai 😊 😂,positive
tu kidhar hai? yaar,neutral
hmm sahi 🤦,neutral
haan theek hai 😭,neutral
koi reply karega? 😡,neutral
bhot badhiya! 😂,positive
mujhe notes bhejna 🤦,neutral
ye bilkul pasand nhi aaya 😡,negative
tu kidhar hai? 🤦,neutral
ye bilkul pasand nhi aaya 🤦,negative
acha theek 🤦,neutral
tu kidhar hai? 😭,neutral
class kab start hogi? 😭,neutral
amazing experience! 🤦,positive
thanks yaar! 🤦,positive
aaj mood bht accha hai 😊 😂,positive
mazaq mat udao 🤦,negative
kal milte hain bhai? 🤦,neutral
bhai tu hadd karta hai 😭,negative
mast bro proud of you! 😡,positive
bhot irritating ho yaar 😂,negative
kal milte hain bhai? 🤦,neutral
ok done bhai,neutral
ok done 😂,neutral
kal milte hain bhai? 😡,neutral
ye kya bakwaas hai yaar,negative
love you guys ❤️ yaar,positive
love you guys ❤️ 😡,positive
class kab start hogi? 😂,neutral
class kab start hogi? bro,neutral
ye bilkul pasand nhi aaya bhai,negative
tu sabse best hai yaar 😡,positive
thanks yaar!,positive
tu sabse best hai yaar 😡,positive
kal milte hain bhai? 😡,neutral
chillana band kar 😡,negative
acha theek 😂,neutral
thanks yaar! yaar,positive
mujhe notes bhejna bro,neutral
bahut bekaar scene tha 😭,negative
faltu baatein mt kar,negative
koi reply karega? bro,neutral
bht gussa aa raha 😡,negative
bhot irritating ho yaar,negative
hmm sahi yaar,neutral
amazing experience! bro,positive
acha theek yaar,neutral
tu sabse best hai yaar bhai,positive
mazaq mat udao 😭,negative
tu sabse best hai yaar 😂,positive
tu sabse best hai yaar,positive
mast bro proud of you! 😡,positive
ok done bhai,neutral
faltu baatein mt kar 🤦,negative
mujhe notes bhejna bro,neutral
love you guys ❤️ 😡,positive
class kab start hogi? 🤦,neutral
bhot irritating ho yaar bhai,negative
mujhe notes bhejna bro,neutral
ok done 😡,neutral
bhai tu hadd karta hai bro,negative
ok done 😂,neutral
ye bilkul pasand nhi aaya,negative
bht gussa aa raha yaar,negative
mazaq mat udao 😭,negative
ye bilkul pasand nhi aaya 😭,negative
chillana band kar bro,negative
ye bilkul pasand nhi aaya 😡,negative
chillana band kar 😂,negative
ye bilkul pasand nhi aaya 😭,negative
bhot badhiya! bhai,positive
bht gussa aa raha bro,negative
bhot irritating ho yaar bro,negative
thanks yaar! 😭,positive
bhai tu hadd karta hai 😭,negative
faltu baatein mt kar bhai,negative
superb explanation bhai! yaar,positive
mast bro proud of you! yaar,positive
mast bro proud of you!,positive
hmm sahi 😂,neutral
hmm sahi yaar,neutral
haan theek hai 🤦,neutral
koi reply karega? 😂,neutral
mast bro proud of you! 😡,positive
fir dekhte hain 😂,neutral
fir dekhte hain yaar,neutral
hmm sahi,neutral
koi reply karega? 😂,neutral
tu sabse best hai yaar bro,positive
mast bro proud of you! 🤦,positive
haan theek hai 🤦,neutral
mast bro proud of you! 😭,positive
tu kidhar hai? 😭,neutral
mujhe notes bhejna yaar,neutral
fir dekhte hain yaar,neutral
ok done 🤦,neutral
bhot irritating ho yaar bhai,negative
bahut bekaar scene tha,negative
mujhe notes bhejna 😡,neutral
mast bro proud of you! bhai,positive
tu kidhar hai? 😂,neutral
kal milte hain bhai? 🤦,neutral
kal milte hain bhai? bhai,neutral
mujhe notes bhejna bhai,neutral
superb explanation bhai! yaar,positive
mazaq mat udao 😭,negative
superb explanation bhai! 😂,positive
acha theek bhai,neutral
amazing experience! yaar,positive
mujhe notes bhejna bhai,neutral
bhai awesome kaam kiya!,positive
koi reply karega? 😡,neutral
chillana band kar,negative
acha theek 😭,neutral
amazing experience! 😡,positive
tu sabse best hai yaar 🤦,positive
mujhe notes bhejna 😭,neutral
class kab start hogi? yaar,neutral
ye bilkul pasand nhi aaya bro,negative
mast bro proud of you! yaar,positive
love you guys ❤️,positive
bhot badhiya! 😭,positive
mast bro proud of you! bhai,positive
mazaq mat udao yaar,negative
acha theek 🤦,neutral
thanks yaar!,positive
love you guys ❤️ bhai,positive
bahut bekaar scene tha 😂,negative
ye bilkul pasand nhi aaya,negative
mujhe notes bhejna bhai,neutral
hmm sahi bhai,neutral
hmm sahi bro,neutral
acha theek,neutral
bhot badhiya! yaar,positive
tu sabse best hai yaar yaar,positive
haan theek hai 😭,neutral
mazaq mat udao 🤦,negative
ye kya bakwaas hai 😂,negative
amazing experience! 😭,positive
ye kya bakwaas hai bhai,negative
haan theek hai 😭,neutral
koi reply karega? 🤦,neutral
mazaq mat udao 🤦,negative
tu kidhar hai? yaar,neutral
class kab start hogi? 😂,neutral
bhai awesome kaam kiya! bro,positive
bhot badhiya! yaar,positive
bahut bekaar scene tha,negative
bhai awesome kaam kiya! 😂,positive
ye bilkul pasand nhi aaya 😡,negative
bahut bekaar scene tha bhai,negative
bhai tu hadd karta hai bhai,negative
acha theek 😂,neutral
mast bro proud of you! yaar,positive
mujhe notes bhejna 😭,neutral
chillana band kar yaar,negative
bhai awesome kaam kiya! 🤦,positive
bhot irritating ho yaar bro,negative
chillana band kar yaar,negative
haan theek hai 🤦,neutral
hmm sahi 😂,neutral
ye bilkul pasand nhi aaya 😭,negative
acha theek 😭,neutral
ye kya bakwaas hai 😂,negative
faltu baatein mt kar bhai,negative
tu sabse best hai yaar 😡,positive
faltu baatein mt kar 😡,negative
acha theek,neutral
superb explanation bhai! 😂,positive
tu kidhar hai? bhai,neutral
bht gussa aa raha bhai,negative
bhai tu hadd karta hai 🤦,negative
amazing experience! 😭,positive
bahut bekaar scene tha bhai,negative
chillana band kar 🤦,negative
love you guys ❤️ 🤦,positive
mazaq mat udao 😂,negative
bhot irritating ho yaar bro,negative
superb explanation bhai! bro,positive
bht gussa aa raha,negative
ye bilkul pasand nhi aaya,negative
ye kya bakwaas hai bhai,negative
mast bro proud of you! 😭,positive
bahut bekaar scene tha,negative
bhai tu hadd karta hai bro,negative
bhai awesome kaam kiya! bro,positive
bhai tu hadd karta hai bhai,negative
amazing experience! 🤦,positive
mast bro proud of you! bro,positive
mujhe notes bhejna 😂,neutral
tu sabse best hai yaar,positive
bhot badhiya! 😡,positive
kal milte hain bhai? bhai,neutral
hmm sahi 😂,neutral
acha theek bhai,neutral
faltu baatein mt kar bro,negative
bhot badhiya! 🤦,positive
ye kya bakwaas hai 😡,negative
acha theek 😭,neutral
bhot irritating ho yaar bro,negative
haan theek hai bro,neutral
ye bilkul pasand nhi aaya 😡,negative
fir dekhte hain 😡,neutral
aaj mood bht accha hai 😊 😡,positive
mazaq mat udao 😂,negative
hmm sahi bro,neutral
thanks yaar! bhai,positive
aaj mood bht accha hai 😊 bro,positive
kal milte hain bhai?,neutral
hmm sahi 😡,neutral
tu sabse best hai yaar 😂,positive
superb explanation bhai! bhai,positive
mujhe notes bhejna 🤦,neutral
bahut bekaar scene tha bro,negative
class kab start hogi? 😡,neutral
bhot irritating ho yaar bhai,negative
kal milte hain bhai? 😂,neutral
mast bro proud of you! 😡,positive
faltu baatein mt kar 😡,negative
class kab start hogi? 😡,neutral
koi reply karega? 🤦,neutral
chillana band kar,negative
amazing experience! 😭,positive
bhot badhiya! 😂,positive
bhai awesome kaam kiya! 😡,positive
love you guys ❤️,positive
fir dekhte hain bhai,neutral
thanks yaar! bro,positive
ok done 😂,neutral
mujhe notes bhejna bhai,neutral
mujhe notes bhejna 🤦,neutral
class kab start hogi? bhai,neutral
koi reply karega? bhai,neutral
acha theek bro,neutral
tu kidhar hai? 😭,neutral
faltu baatein mt kar 🤦,negative
kal milte hain bhai? 🤦,neutral
bhot irritating ho yaar 😭,negative
fir dekhte hain bhai,neutral
bhai awesome kaam kiya! 😭,positive
hmm sahi bhai,neutral
love you guys ❤️ bro,positive
bhot irritating ho yaar yaar,negative
thanks yaar!,positive
acha theek yaar,neutral
class kab start hogi? 😭,neutral
ye kya bakwaas hai bro,negative
love you guys ❤️,positive
chillana band kar,negative
bahut bekaar scene tha yaar,negative
superb explanation bhai! 😡,positive
fir dekhte hain 😭,neutral
koi reply karega? 😂,neutral
haan theek hai 😭,neutral
hmm sahi 😡,neutral
tu kidhar hai?,neutral
haan theek hai 🤦,neutral
chillana band kar 😡,negative
bhai awesome kaam kiya! 😭,positive
bhot badhiya! bhai,positive
chillana band kar 😭,negative
class kab start hogi? yaar,neutral
mast bro proud of you! 😡,positive
tu kidhar hai? 😭,neutral
ye bilkul pasand nhi aaya 😂,negative
faltu baatein mt kar bro,negative
aaj mood bht accha hai 😊 😂,positive
amazing experience! bhai,positive
faltu baatein mt kar 😂,negative
aaj mood bht accha hai 😊 bro,positive
koi reply karega?,neutral
tu kidhar hai?,neutral
superb explanation bhai! 🤦,positive
tu sabse best hai yaar 😂,positive
bhai awesome kaam kiya! 😂,positive
mujhe notes bhejna 😡,neutral
class kab start hogi? 🤦,neutral
aaj mood bht accha hai 😊 bhai,positive
thanks yaar! 😡,positive
superb explanation bhai! 😂,positive
hmm sahi 😭,neutral
haan theek hai yaar,neutral
class kab start hogi? 🤦,neutral
koi reply karega? 😡,neutral
ye bilkul pasand nhi aaya bro,negative
bhai tu hadd karta hai 😂,negative
chillana band kar yaar,negative
ye bilkul pasand nhi aaya 🤦,negative
bhot irritating ho yaar,negative
faltu baatein mt kar 😡,negative
hmm sahi bro,neutral
bhai tu hadd karta hai 😭,negative
tu sabse best hai yaar 🤦,positive
chillana band kar 🤦,negative
bahut bekaar scene tha bro,negative
mazaq mat udao 🤦,negative
kal milte hain bhai? bhai,neutral
koi reply karega? 🤦,neutral
hmm sahi bhai,neutral
tu kidhar hai? bhai,neutral
ok done 😂,neutral
kal milte hain bhai? bhai,neutral
tu sabse best hai yaar bhai,positive
mast bro proud of you! 🤦,positive
ye kya bakwaas hai 😭,negative
hmm sahi,neutral
tu kidhar hai? bhai,neutral
mast bro proud of you! 🤦,positive
ok done 😡,neutral
aaj mood bht accha hai 😊 😂,positive
thanks yaar! bro,positive
chillana band kar 😡,negative
haan theek hai 😂,neutral
ok done 😡,neutral
mast bro proud of you! 😭,positive
tu kidhar hai? 😡,neutral
love you guys ❤️ 🤦,positive
hmm sahi bro,neutral
aaj mood bht accha hai 😊 😡,positive
bhai tu hadd karta hai bhai,negative
love you guys ❤️,positive
haan theek hai yaar,neutral
bhot badhiya! yaar,positive
ok done bro,neutral
bhot irritating ho yaar yaar,negative
class kab start hogi? 😂,neutral
bht gussa aa raha yaar,negative
thanks yaar!,positive
haan theek hai 😡,neutral
faltu baatein mt kar 🤦,negative
mujhe notes bhejna yaar,neutral
fir dekhte hain 🤦,neutral
bahut bekaar scene tha 😡,negative
aaj mood bht accha hai 😊 bro,positive
mujhe notes bhejna bhai,neutral
fir dekhte hain bhai,neutral
mujhe notes bhejna 😡,neutral
acha theek,neutral
mast bro proud of you! 😂,positive
aaj mood bht accha hai 😊 bhai,positive
bht gussa aa raha 🤦,negative
thanks yaar! 😭,positive
fir dekhte hain bhai,neutral
acha theek 😂,neutral
tu kidhar hai? 😭,neutral
kal milte hain bhai? 😂,neutral
bht gussa aa raha bro,negative
love you guys ❤️ bro,positive
thanks yaar! 😡,positive
ye bilkul pasand nhi aaya 😡,negative
haan theek hai bro,neutral
hmm sahi bro,neutral
bhai awesome kaam kiya! bhai,positive
faltu baatein mt kar 😡,negative
kal milte hain bhai? bhai,neutral
hmm sahi 😭,neutral
bhai awesome kaam kiya! 😡,positive
bht gussa aa raha 😂,negative
bhai awesome kaam kiya! yaar,positive
bahut bekaar scene tha bhai,negative
tu sabse best hai yaar 😭,positive
bhot badhiya! bhai,positive
acha theek bro,neutral
fir dekhte hain yaar,neutral
acha theek bro,neutral
class kab start hogi? 😂,neutral
kal milte hain bhai? bhai,neutral
kal milte hain bhai? 🤦,neutral
ok done yaar,neutral
bhai tu hadd karta hai,negative
kal milte hain bhai? 😭,neutral
tu sabse best hai yaar bhai,positive
bhai tu hadd karta hai bhai,negative
mazaq mat udao 😂,negative
mast bro proud of you! 😭,positive
acha theek bro,neutral
aaj mood bht accha hai 😊 😂,positive
mujhe notes bhejna,neutral
ye kya bakwaas hai,negative
love you guys ❤️,positive
faltu baatein mt kar bhai,negative
haan theek hai bro,neutral
thanks yaar! 😡,positive
hmm sahi 😂,neutral
bhai tu hadd karta hai bro,negative
love you guys ❤️ yaar,positive
hmm sahi 😡,neutral
bhai awesome kaam kiya!,positive
love you guys ❤️ 🤦,positive
fir dekhte hain 😡,neutral
class kab start hogi? bro,neutral
koi reply karega? bhai,neutral
faltu baatein mt kar 😡,negative
aaj mood bht accha hai 😊,positive
mast bro proud of you! 😭,positive
ye bilkul pasand nhi aaya 🤦,negative
kal milte hain bhai? yaar,neutral
faltu baatein mt kar 🤦,negative
haan theek hai 😂,neutral
ye bilkul pasand nhi aaya 😭,negative
faltu baatein mt kar 🤦,negative
bhai awesome kaam kiya! bhai,positive
ye kya bakwaas hai 😡,negative
bahut bekaar scene tha bhai,negative
kal milte hain bhai? 😡,neutral
koi reply karega?,neutral
ok done bhai,neutral
acha theek 🤦,neutral
ye kya bakwaas hai,negative
chillana band kar 😡,negative
class kab start hogi? 😡,neutral
ok done bro,neutral
mazaq mat udao bro,negative
ye kya bakwaas hai,negative
superb explanation bhai! yaar,positive
tu kidhar hai? yaar,neutral
bhai tu hadd karta hai bhai,negative
class kab start hogi? bro,neutral
mujhe notes bhejna 🤦,neutral
fir dekhte hain 😭,neutral
bahut bekaar scene tha 😭,negative
kal milte hain bhai? 🤦,neutral
ok done 😭,neutral
bhot badhiya! 😂,positive
bht gussa aa raha bhai,negative
bahut bekaar scene tha,negative
bahut bekaar scene tha 🤦,negative
bhai tu hadd karta hai bhai,negative
love you guys ❤️ 😭,positive
mazaq mat udao bhai,negative
mast bro proud of you! 😭,positive
mast bro proud of you! 😂,positive
bahut bekaar scene tha 😂,negative
chillana band kar 😭,negative
bhot irritating ho yaar 🤦,negative
bhot irritating ho yaar,negative
tu kidhar hai? bhai,neutral
bahut bekaar scene tha yaar,negative
haan theek hai 🤦,neutral
bahut bekaar scene tha 🤦,negative
faltu baatein mt kar 😡,negative
bhot badhiya! bhai,positive
ok done,neutral
mujhe notes bhejna 😡,neutral
tu sabse best hai yaar,positive
ye bilkul pasand nhi aaya 😂,negative
tu sabse best hai yaar 😂,positive
tu kidhar hai?,neutral
bhai awesome kaam kiya! 😭,positive
love you guys ❤️ bhai,positive
ye kya bakwaas hai 😡,negative
bhot irritating ho yaar 😡,negative
haan theek hai yaar,neutral
superb explanation bhai!,positive
amazing experience! 😭,positive
bhot badhiya! 🤦,positive
tu sabse best hai yaar 😡,positive
chillana band kar 😭,negative
mazaq mat udao 😂,negative
mujhe notes bhejna bro,neutral
mujhe notes bhejna bro,neutral
mazaq mat udao bro,negative
koi reply karega? bro,neutral
ye kya bakwaas hai 🤦,negative
faltu baatein mt kar bhai,negative
acha theek 😭,neutral
superb explanation bhai! 😭,positive
bht gussa aa raha,negative
bhai awesome kaam kiya! yaar,positive
superb explanation bhai! 😂,positive
class kab start hogi?,neutral
koi reply karega? 😭,neutral
kal milte hain bhai? bhai,neutral
koi reply karega? 😂,neutral
mazaq mat udao bhai,negative
bahut bekaar scene tha 😡,negative
bhai awesome kaam kiya! yaar,positive
acha theek 🤦,neutral
fir dekhte hain,neutral
superb explanation bhai! bro,positive
bhai awesome kaam kiya! 😡,positive
ye kya bakwaas hai 😂,negative
hmm sahi 🤦,neutral
bahut bekaar scene tha 🤦,negative
bhai tu hadd karta hai yaar,negative
love you guys ❤️ yaar,positive
mujhe notes bhejna 😭,neutral
ye kya bakwaas hai 🤦,negative
tu kidhar hai? bhai,neutral
bhot irritating ho yaar bro,negative
thanks yaar! yaar,positive
ye bilkul pasand nhi aaya 😭,negative
bht gussa aa raha bhai,negative
bhot badhiya! 😡,positive
kal milte hain bhai? 😭,neutral
mazaq mat udao,negative
bahut bekaar scene tha,negative
acha theek,neutral
faltu baatein mt kar bro,negative
koi reply karega?,neutral
bht gussa aa raha 😭,negative
kal milte hain bhai? 😂,neutral
bht gussa aa raha bhai,negative
aaj mood bht accha hai 😊 bro,positive
ok done bro,neutral
superb explanation bhai! 😡,positive
bhot badhiya!,positive
bhot badhiya! yaar,positive
fir dekhte hain bro,neutral
tu kidhar hai? bhai,neutral
bht gussa aa raha,negative
love you guys ❤️ bhai,positive
faltu baatein mt kar 😭,negative
hmm sahi bhai,neutral
love you guys ❤️ 😭,positive
ok done bhai,neutral
bhai awesome kaam kiya! 😡,positive
class kab start hogi? 😡,neutral
thanks yaar! 😡,positive
acha theek yaar,neutral
kal milte hain bhai? yaar,neutral
faltu baatein mt kar 😭,negative
kal milte hain bhai? 🤦,neutral
koi reply karega? yaar,neutral
bhot irritating ho yaar,negative
bht gussa aa raha,negative
faltu baatein mt kar 😡,negative
haan theek hai bro,neutral
tu kidhar hai? 😭,neutral
kal milte hain bhai? yaar,neutral
mast bro proud of you! 😭,positive
bahut bekaar scene tha 😡,negative
faltu baatein mt kar,negative
amazing experience!,positive
superb explanation bhai!,positive
bht gussa aa raha yaar,negative
chillana band kar 🤦,negative
class kab start hogi? yaar,neutral
love you guys ❤️,positive
acha theek bhai,neutral
tu kidhar hai? 😭,neutral
bht gussa aa raha 😂,negative
ok done,neutral
mujhe notes bhejna 😂,neutral
bhot irritating ho yaar 😭,negative
hmm sahi yaar,neutral
hmm sahi 😭,neutral
ye bilkul pasand nhi aaya 😡,negative
fir dekhte hain,neutral
mazaq mat udao 😂,negative
aaj mood bht accha hai 😊 🤦,positive
bht gussa aa raha 🤦,negative
bhot badhiya! yaar,positive
amazing experience!,positive
koi reply karega? yaar,neutral
chillana band kar,negative
mujhe notes bhejna bhai,neutral
bhai awesome kaam kiya! 😂,positive
bhot irritating ho yaar 😂,negative
haan theek hai bhai,neutral
tu sabse best hai yaar,positive
superb explanation bhai! yaar,positive
bht gussa aa raha bro,negative
aaj mood bht accha hai 😊 😭,positive
fir dekhte hain,neutral
hmm sahi yaar,neutral
bhot badhiya! 😡,positive
fir dekhte hain,neutral
ok done 😡,neutral
bhot badhiya!,positive
bht gussa aa raha,negative
aaj mood bht accha hai 😊 😂,positive
tu kidhar hai?,neutral
love you guys ❤️ 😂,positive
hmm sahi 🤦,neutral
hmm sahi bro,neutral
bhai tu hadd karta hai 😭,negative
love you guys ❤️,positive
bahut bekaar scene tha 😭,negative
ye bilkul pasand nhi aaya 🤦,negative
tu kidhar hai? 😡,neutral
mast bro proud of you! bro,positive
thanks yaar! 😭,positive
superb explanation bhai! 😂,positive
bhot irritating ho yaar 🤦,negative
bahut bekaar scene tha 😭,negative
hmm sahi,neutral
tu kidhar hai? 😭,neutral
amazing experience! bro,positive
mujhe notes bhejna bro,neutral
amazing experience!,positive
mast bro proud of you! bhai,positive
class kab start hogi?,neutral
acha theek yaar,neutral
tu kidhar hai? 😭,neutral
mast bro proud of you! 😂,positive
ye bilkul pasand nhi aaya 😂,negative
bhai tu hadd karta hai,negative
amazing experience! bhai,positive
class kab start hogi? 🤦,neutral
superb explanation bhai! yaar,positive
bhai tu hadd karta hai 😡,negative
bhai tu hadd karta hai 😡,negative
bhai tu hadd karta hai,negative
tu kidhar hai? bro,neutral
fir dekhte hain 😡,neutral
ye kya bakwaas hai bro,negative
aaj mood bht accha hai 😊 bhai,positive
faltu baatein mt kar 😡,negative
bhai awesome kaam kiya! 😭,positive
ok done bhai,neutral
mujhe notes bhejna 🤦,neutral
thanks yaar! 😂,positive
fir dekhte hain yaar,neutral
bahut bekaar scene tha bhai,negative
haan theek hai bro,neutral
ye kya bakwaas hai 😭,negative
aaj mood bht accha hai 😊 bhai,positive
bhot badhiya! bro,positive
bhot badhiya!,positive
superb explanation bhai! bro,positive
koi reply karega? 😡,neutral
chillana band kar bro,negative
bahut bekaar scene tha bro,negative
koi reply karega?,neutral
hmm sahi yaar,neutral
thanks yaar! yaar,positive
amazing experience! yaar,positive
faltu baatein mt kar yaar,negative
thanks yaar!,positive
bhot irritating ho yaar,negative
mujhe notes bhejna 😭,neutral
ye bilkul pasand nhi aaya 😂,negative
aaj mood bht accha hai 😊 🤦,positive
bhai awesome kaam kiya! bhai,positive
mujhe notes bhejna bhai,neutral
aaj mood bht accha hai 😊 🤦,positive
acha theek 😭,neutral
class kab start hogi?,neutral
mujhe notes bhejna 😭,neutral
ok done 😂,neutral
koi reply karega? 😡,neutral
koi reply karega?,neutral
aaj mood bht accha hai 😊 yaar,positive
aaj mood bht accha hai 😊 🤦,positive
bhai awesome kaam kiya! 🤦,positive
bhai awesome kaam kiya! 😂,positive
tu kidhar hai? bhai,neutral
thanks yaar! 😂,positive
ye kya bakwaas hai yaar,negative
thanks yaar! bhai,positive
aaj mood bht accha hai 😊 😭,positive
bhai tu hadd karta hai bhai,negative
chillana band kar,negative
haan theek hai bro,neutral
mujhe notes bhejna 🤦,neutral
bhai awesome kaam kiya! bro,positive
love you guys ❤️ 😭,positive
koi reply karega?,neutral
bhai tu hadd karta hai bro,negative
superb explanation bhai! 😂,positive
haan theek hai,neutral
bhot badhiya! yaar,positive
mujhe notes bhejna bhai,neutral
bhot badhiya! 😡,positive
hmm sahi 🤦,neutral
bhai tu hadd karta hai 😡,negative
acha theek yaar,neutral
bahut bekaar scene tha,negative
bht gussa aa raha yaar,negative
hmm sahi 😭,neutral
class kab start hogi? 🤦,neutral
aaj mood bht accha hai 😊 😡,positive
acha theek,neutral
mujhe notes bhejna 😡,neutral
fir dekhte hain 😂,neutral
bhot irritating ho yaar 😂,negative
mast bro proud of you!,positive
bhai tu hadd karta hai yaar,negative
ye kya bakwaas hai,negative
thanks yaar! 🤦,positive
haan theek hai bhai,neutral
bhot badhiya! 😂,positive
bhai awesome kaam kiya! 😂,positive
bhot badhiya!,positive
kal milte hain bhai?,neutral
amazing experience! yaar,positive
mast bro proud of you! 😡,positive
thanks yaar!,positive
bahut bekaar scene tha,negative
hmm sahi yaar,neutral
kal milte hain bhai? yaar,neutral
mast bro proud of you! bhai,positive
mujhe notes bhejna 😡,neutral
